День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,УИМО-01-21,ИТГУ,"38.04.05
Бизнес-информатика",24,Unnamed: 9,УСМО-01-21,Стат,"01.04.05
Статистика",14,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,УДМО-01-21,ДиА,46.04.02,1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка
ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,6,18-00,19-30,I,Проектирование территориально-распределенных информационных систем,пр,Нурматова Е.В.,А-316,,"Современный стратегический анализ (3н)
Многомерный статистический анализ (11-17н)",лк,"Сиганьков А.А.
Есенин М.А.","А-425
И-212Д",,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,6,18-00,19-30,II,Обеспечение финансово-экономической корпоративной безопасности,пр,Перцева О.В.,ивц-117,,"Совеременный стратегический анализ (2-4н)
Многомерный статистический анализ (10-16н)",лк,"Сиганьков А.А.
Есенин М.А.","А-425
И-212Д",,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,7,19-40,21-10,I,Проектирование территориально-распределенных информационных систем,пр,Нурматова Е.В.,А-316,,"Современный стратегический анализ (3н)
Многомерный статистический анализ (11-17н)",пр,"Сиганьков А.А.
Есенин М.А.","А-425
И-212Д",,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,7,19-40,21-10,II,Информационная стратегия организации,лк,Вартанян А.А,А-329,,"Совеременный стратегический анализ (2-4н)
Многомерный статистический анализ (10-16н)",пр,"Сиганьков А.А.
Есенин М.А.","А-425
И-212Д",,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,Документирование управления проектами,лк,Клейтман А.Л.,А-430,,,,,,
ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,Документирование управления проектами,лк,Клейтман А.Л.,А-430,,,,,,
ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,Документирование управления проектами,пр,Клейтман А.Л.,А-430,,,,,,
ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,Документирование управления проектами,пр,Клейтман А.Л.,А-430,,,,,,
ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,
ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,
ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,
ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,
ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,
ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,
ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,
ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,
ВТОРНИК,5,16-20,17-50,I,,,,,,,,,,,ВТОРНИК,5,16-20,17-50,I,,,,,,,,,,
ВТОРНИК,5,16-20,17-50,II,,,,,,,,,,,ВТОРНИК,5,16-20,17-50,II,,,,,,,,,,
ВТОРНИК,6,18-00,19-30,I,Информационная стратегия организации,пр,Вартанян А.А.,А-218,,Современный стратегический анализ (5-15н),лк,Сиганьков А.А.,А-204,,ВТОРНИК,6,18-00,19-30,I,,,,,,,,,,
ВТОРНИК,6,18-00,19-30,II,"6,10,14,18 н. Управление проектными командами
4,8,12,16 н. Проектирование территориально-распределенных информационных систем","лк

лк","Быкова А.В.

Нурматова Е.В.",А-218,,Статистический анализ инвестиций,лк,Бурцева Т.А.,А-204,,ВТОРНИК,6,18-00,19-30,II,,,,,,,,,,
